side,interval,ce,n_infected,index,20,25,30,35,40,45,50
5,5,10,107,28,0.1,0.08,0.0667,0.1714,0.15,0.1778,0.2
5,5,10,134,29,0.15,0.16,0.2,0.2857,0.325,0.3111,0.3
5,5,10,112,30,0.05,0.04,0.1,0.0857,0.1,0.1556,0.16
5,5,10,111,31,0.0,0.04,0.0667,0.0857,0.1,0.1556,0.22
5,5,10,97,32,0.1,0.08,0.1,0.1429,0.2,0.2889,0.32
5,5,10,115,33,0.05,0.12,0.1333,0.2286,0.3,0.3333,0.34
5,5,10,108,34,0.05,0.12,0.1333,0.2286,0.25,0.2667,0.28
5,5,10,119,35,0.05,0.12,0.1,0.1143,0.1,0.1333,0.14
5,5,10,106,36,0.0,0.04,0.0667,0.0857,0.075,0.0889,0.16
5,5,10,91,37,0.0,0.04,0.0333,0.1143,0.15,0.2,0.28
5,5,10,110,38,0.0,0.0,0.0,0.0,0.075,0.1333,0.2
5,5,10,107,39,0.05,0.08,0.0667,0.1429,0.2,0.2222,0.26
5,5,10,128,40,0.0,0.04,0.0667,0.1429,0.175,0.2,0.22
5,5,10,98,41,0.05,0.04,0.0333,0.0857,0.1,0.1333,0.16
5,5,10,105,42,0.0,0.04,0.1,0.0857,0.1,0.1556,0.24
5,5,10,118,43,0.05,0.04,0.0667,0.0857,0.125,0.1556,0.2
5,5,10,93,44,0.05,0.04,0.0667,0.0857,0.125,0.2444,0.3
5,5,10,113,45,0.0,0.0,0.0333,0.1143,0.125,0.1556,0.22
5,5,10,98,46,0.1,0.16,0.1667,0.1429,0.2,0.2222,0.26
5,5,10,110,47,0.05,0.08,0.2,0.2,0.225,0.2444,0.28
5,5,10,80,48,0.0,0.08,0.1333,0.1429,0.175,0.2222,0.22
5,5,10,94,49,0.0,0.0,0.1,0.1429,0.25,0.3111,0.32
5,5,10,117,50,0.05,0.04,0.0333,0.0857,0.125,0.1556,0.2
5,5,10,128,51,0.0,0.0,0.0333,0.0286,0.075,0.0889,0.14
5,5,10,118,52,0.05,0.04,0.0667,0.1143,0.15,0.2222,0.26
5,5,10,89,53,0.05,0.12,0.2,0.1714,0.175,0.2667,0.24
5,5,10,115,54,0.05,0.04,0.0667,0.0857,0.125,0.1333,0.16
5,5,10,102,55,0.0,0.04,0.0667,0.1429,0.25,0.2444,0.26
5,5,10,112,56,0.0,0.08,0.1,0.1714,0.225,0.2222,0.24
5,5,10,107,57,0.1,0.12,0.1333,0.3143,0.35,0.3778,0.38
5,5,10,114,58,0.05,0.12,0.2,0.2857,0.3,0.3778,0.4
5,5,10,94,59,0.0,0.0,0.0333,0.0857,0.075,0.1111,0.2
