side,interval,ce,mean_infected,sdv_infected,p20,sdv20,p25,sdv25,p30,sdv30,p35,sdv35,p40,sdv40,p45,sdv45,p50,sdv50
20,15,9,198.08,11.332,1.0,0.0,0.9396,0.0394,0.8743,0.0553,0.8023,0.0678,0.7365,0.0721,0.6849,0.0719,0.6472,0.0707
20,15,7,197.93,11.3624,1.0,0.0,0.9396,0.0394,0.8743,0.0553,0.8023,0.0678,0.736,0.0721,0.6851,0.0727,0.6476,0.0703
20,15,5,197.96,11.4437,1.0,0.0,0.9396,0.0394,0.8743,0.0553,0.8017,0.0675,0.7355,0.072,0.6844,0.0721,0.6478,0.0707
20,15,3,197.97,11.4494,1.0,0.0,0.9396,0.0394,0.8743,0.0553,0.802,0.0675,0.7362,0.0718,0.6847,0.0721,0.6474,0.0703
20,15,1,197.97,11.4494,1.0,0.0,0.9396,0.0394,0.8743,0.0553,0.802,0.0675,0.7362,0.0718,0.6847,0.0724,0.6474,0.0704
20,30,10,233.14,11.5412,1.0,0.0,0.9288,0.0422,0.856,0.0549,0.7889,0.0653,0.7287,0.0703,0.68,0.0706,0.6448,0.0693
20,30,9,231.99,11.4695,1.0,0.0,0.9288,0.0422,0.856,0.0549,0.7889,0.0653,0.7287,0.0703,0.6802,0.0707,0.6444,0.0694
20,30,7,230.27,11.4454,1.0,0.0,0.9288,0.0422,0.856,0.0549,0.7886,0.0653,0.7285,0.0702,0.6802,0.0705,0.6444,0.0691
20,30,5,229.41,11.2268,1.0,0.0,0.9288,0.0422,0.8563,0.0543,0.7883,0.0658,0.7285,0.0699,0.6802,0.0705,0.6444,0.069
20,30,3,229.26,11.3302,1.0,0.0,0.9288,0.0422,0.8563,0.0543,0.7889,0.0653,0.729,0.07,0.6809,0.0707,0.6448,0.0689
20,30,1,229.25,11.3017,1.0,0.0,0.9288,0.0422,0.856,0.0543,0.7883,0.0659,0.7282,0.0705,0.6807,0.0704,0.6442,0.0689
